,zbkzj,project_type,下浮率
0,13987254.03,1,7.069999999999993
8,5728467.9,0,7.670000000000002
17,2507261.14,0,12.459999999999994
19,4152156.44,0,12.549999999999997
26,12342284.4,1,8.260000000000005
55,4330067.96,2,7.609999999999999
58,5727301.17,0,12.670000000000002
64,8514527.04,3,9.219999999999999
70,18381258.39,1,12.989999999999995
73,11916088.47,2,7.959999999999994
92,4832203.41,1,12.86
94,5449815.22,2,6.6299999999999955
112,18945816.44,2,10.36
129,4272732.25,2,8.819999999999993
167,5076708.64,2,9.680000000000007
168,7606568.21,0,9.280000000000001
184,832813.58,2,6.640000000000001
186,10893651.77,2,8.980000000000004
194,766618.07,2,7.420000000000002
198,1240333.33,2,6.219999999999999
207,5340608.07,2,5.8700000000000045
243,18945816.44,2,5.819999999999993
248,686070.1,2,7.260000000000005
250,4203417.44,2,6.239999999999995
276,6018484.39,2,6.010000000000005
287,3602285.12,2,6.0
288,4199726.6,2,8.959999999999994
297,8093023.7,1,14.239999999999995
313,5344218.27,2,14.379999999999995
324,6375750.82,0,12.069999999999993
329,2085149.26,2,6.849999999999994
346,3665524.08,0,12.549999999999997
352,2460691.78,2,6.590000000000003
368,4790226.95,1,7.3799999999999955
375,2473043.39,2,6.519999999999996
382,3761769.13,2,13.280000000000001
392,6748419.73,2,7.359999999999999
399,2650399.72,2,3.5999999999999943
414,9348136.8,2,9.200000000000003
428,4908301.56,2,13.799999999999997
431,3602285.12,2,8.769999999999996
434,6528848.61,0,7.760000000000005
437,5466874.67,2,6.230000000000004
441,8391697.42,0,7.3700000000000045
