zbkzj,project_type,下浮率,k1,k2
13987254.03,1,7.069999999999993,0.45,0.98
5728467.9,0,7.670000000000002,0.6,0.96
2507261.14,0,12.459999999999994,0.45,0.92
4152156.44,0,12.549999999999997,0.4,0.92
12342284.4,1,8.260000000000005,0.5,0.96
4330067.96,2,7.609999999999999,0.6,0.96
5727301.17,0,12.670000000000002,0.4,0.92
8514527.04,3,9.219999999999999,0.6,0.94
18381258.39,1,12.989999999999995,0.55,0.92
11916088.47,2,7.959999999999994,0.35,0.98
4832203.41,1,12.86,0.5,0.92
5449815.22,2,6.6299999999999955,0.4,0.98
18945816.44,2,10.36,0.45,0.97
4272732.25,2,8.819999999999993,0.6,0.94
5076708.64,2,9.680000000000007,0.4,0.95
7606568.21,0,9.280000000000001,0.45,0.96
832813.58,2,6.640000000000001,0.6,0.96
10893651.77,2,8.980000000000004,0.45,0.95
766618.07,2,7.420000000000002,0.5,0.96
1240333.33,2,6.219999999999999,0.5,0.97
5340608.07,2,5.8700000000000045,0.55,0.98
18945816.44,2,5.819999999999993,0.45,0.97
686070.1,2,7.260000000000005,0.4,0.96
4203417.44,2,6.239999999999995,0.4,0.98
6018484.39,2,6.010000000000005,0.45,0.98
3602285.12,2,6.0,0.55,0.97
4199726.6,2,8.959999999999994,0.6,0.94
8093023.7,1,14.239999999999995,0.4,0.92
5344218.27,2,14.379999999999995,0.4,0.9
6375750.82,0,12.069999999999993,0.5,0.92
2085149.26,2,6.849999999999994,0.6,0.96
3665524.08,0,12.549999999999997,0.45,0.92
2460691.78,2,6.590000000000003,0.6,0.96
4790226.95,1,7.3799999999999955,0.4,0.98
2473043.39,2,6.519999999999996,0.6,0.96
3761769.13,2,13.280000000000001,0.45,0.95
6748419.73,2,7.359999999999999,0.45,0.97
2650399.72,2,3.5999999999999943,0.4,0.96
9348136.8,2,9.200000000000003,0.45,0.95
4908301.56,2,13.799999999999997,0.45,0.9
3602285.12,2,8.769999999999996,0.55,0.97
6528848.61,0,7.760000000000005,0.6,0.96
5466874.67,2,6.230000000000004,0.45,0.98
8391697.42,0,7.3700000000000045,0.6,0.96
