ZBKZJ,k1,线性回归,随机森林,决策树,K近邻,预测值
1285300.0,0.9,0.9191391163601118,0.9164199999999992,0.9171243243243248,0.914,0.9167721621621621
3204192.144,0.933,0.9192510827344414,0.9207700000000011,0.9171243243243248,0.9213333333333334,0.9200105413672214
4328987.188,0.889,0.919316713949481,0.9331199999999992,0.9262068965517242,0.9313333333333333,0.9287701149425287
4500551.001,0.929,0.9193267246101468,0.9258400000000014,0.9262068965517242,0.93,0.9260234482758627
4733264.319,0.815,0.9193403033131271,0.9271099999999993,0.9152000000000001,0.9136666666666667,0.9172701516565636
5371567.005,0.935,0.9193775479481108,0.9416300000000005,0.9401111111111109,0.9366666666666666,0.9383888888888887
5915821.996,0.922,0.9194093049482338,0.9005000000000005,0.9209130434782611,0.9153333333333333,0.9173713191407835
6041259.426,0.94,0.9194166241580634,0.9554599999999996,0.9209130434782611,0.9386666666666668,0.9297898550724637
6410556.0,0.98,0.919438172424115,0.9198999999999999,0.9209130434782611,0.9253333333333332,0.9204065217391302
6449083.996,0.891,0.9194404205129592,0.8937300000000004,0.9209130434782611,0.911,0.9152202102564796
6665554.196,0.889,0.919453051438319,0.933129999999998,0.9209130434782611,0.9316666666666666,0.926289855072464
7186073.283,0.99,0.919483423460594,0.8924900000000002,0.90704,0.904,0.9055199999999997
7870392.403,0.924,0.9195233531309459,0.9240600000000012,0.9173333333333334,0.9036666666666667,0.9184283432321396
8385753.402,0.97,0.9195534241814264,0.9243600000000012,0.9315454545454546,0.9206666666666666,0.9225133333333337
8406302.002,0.884,0.9195546231817177,0.928320000000002,0.9315454545454546,0.9206666666666669,0.9244933333333345
8432479.579,0.903,0.9195561506299355,0.9135900000000012,0.9045000000000001,0.9206666666666666,0.9165730753149683
8690066.836,0.904,0.9195711807145236,0.9385499999999997,0.9253783783783783,0.9276666666666666,0.9265225225225224
11005241.0,0.92,0.9197062699418651,0.9080899999999994,0.9237613636363636,0.8823333333333334,0.9138981349709323
11831656.58,0.99,0.9197544908679194,0.9213499999999993,0.9237613636363636,0.9226666666666667,0.9220083333333331
12169183.27,0.89,0.9197741853775024,0.9256000000000004,0.9237613636363636,0.924,0.9238806818181817
18133020.0,0.876,0.9201221721978351,0.9153999999999989,0.921364406779661,0.9106666666666667,0.9177610860989169
19112419.59,0.959,0.9201793196625611,0.9200400000000012,0.921364406779661,0.9076666666666666,0.920109659831281
19396110.3,0.99,0.9201958728702695,0.9073200000000007,0.921364406779661,0.9133333333333334,0.9167646031018015
24319273.64,0.899,0.920483136931012,0.915100000000001,0.921364406779661,0.9119999999999999,0.9177915684655065
25894941.55,0.946,0.9205750763469828,0.9068099999999996,0.921364406779661,0.9076666666666667,0.9141208715068245
27144130.4,0.884,0.9206479658769258,0.9343499999999993,0.921364406779661,0.9423333333333334,0.9278572033898302
40019966.39,0.933,0.9213992643158562,0.9432699999999984,0.951,0.931,0.9371349999999993
72449746.68,0.97,0.9232915253951101,0.8983500000000006,0.8984285714285714,0.911,0.9047142857142858
84468407.73,0.982,0.9239928081150758,0.9240000000000015,0.9206000000000001,0.9126666666666666,0.9222964040575379
139162995.7,0.921,0.9271842093251966,0.9424999999999999,0.9405217391304347,0.9356666666666666,0.9380942028985506
